Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Doug Flutie,QB,BUF,207.0,2.0,0.0,16.0,9.0,5.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.580000000000002,15.580000000000002,15.580000000000002
Steve Beuerlein,QB,CAR,262.0,3.0,0.0,27.0,18.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.38,20.38,20.38
Jake Plummer,QB,ARI,125.0,2.0,0.0,18.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0
Chris Chandler,QB,ATL,315.0,4.0,0.0,42.0,24.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,27.700000000000003,27.700000000000003,27.700000000000003
Brett Favre,QB,GNB,236.0,2.0,0.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.439999999999998,17.439999999999998,17.439999999999998
Gus Frerotte,QB,DET,309.0,2.0,0.0,42.0,29.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.86,20.86,20.86
Kurt Warner,QB,STL,213.0,2.0,0.0,27.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.52,16.52,16.52
Damon Huard,QB,MIA,44.0,0.0,0.0,5.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,2.36,2.36
Jeff George,QB,MIN,363.0,4.0,2.0,43.0,28.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.22,26.22,26.22
Donovan McNabb,QB,PHI,172.0,2.0,0.0,28.0,16.0,8.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,21.979999999999997,21.979999999999997,21.979999999999997
