Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Rich Gannon,QB,OAK,231.0,2.0,0.0,22.0,15.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,23.64,23.64,23.64
Daunte Culpepper,QB,MIN,205.0,2.0,0.0,22.0,15.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0
Kordell Stewart,QB,PIT,182.0,3.0,0.0,20.0,11.0,6.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,28.380000000000003,28.380000000000003,28.380000000000003
Tony Banks,QB,BAL,45.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.8
Stoney Case,QB,DET,10.0,0.0,0.0,1.0,1.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,0.10000000000000003,0.10000000000000003
Charlie Batch,QB,DET,194.0,1.0,0.0,24.0,16.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,17.459999999999997,17.459999999999997,17.459999999999997
Kerry Collins,QB,NYG,232.0,1.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.28,13.28,13.28
Rob Johnson,QB,BUF,262.0,2.0,0.0,39.0,24.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.38,20.38,20.38
Doug Johnson,QB,ATL,85.0,1.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4
Kent Graham,QB,PIT,27.0,0.0,0.0,2.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800000000000001,0.8800000000000001,0.8800000000000001
Steve Beuerlein,QB,CAR,243.0,3.0,1.0,37.0,22.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,18.32,18.32,18.32
Jeff George,QB,WAS,288.0,2.0,0.0,43.0,25.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,18.32,18.32,18.32
Damon Huard,QB,MIA,183.0,1.0,0.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.32,11.32,11.32
Akili Smith,QB,CIN,129.0,1.0,0.0,20.0,10.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,8.66,8.66,8.66
Trent Dilfer,QB,BAL,169.0,2.0,1.0,23.0,12.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76,13.76,13.76
Steve McNair,QB,TEN,228.0,0.0,0.0,24.0,13.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,13.719999999999999,13.719999999999999,13.719999999999999
Troy Aikman,QB,DAL,276.0,1.0,1.0,43.0,30.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34,13.34,13.34
