Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Brett Favre,QB,GNB,340.0,3.0,0.0,36.0,25.0,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,25.1,25.1
Mark Brunell,QB,WAS,261.0,1.0,0.0,27.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.44,14.44,14.44
Bruce Gradkowski,QB,TAM,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.64
Marc Bulger,QB,STL,309.0,1.0,0.0,31.0,21.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.259999999999998,14.259999999999998,14.259999999999998
Donovan McNabb,QB,PHI,296.0,2.0,0.0,33.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.94,19.94,19.94
Jake Plummer,QB,DEN,256.0,2.0,0.0,30.0,15.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,19.14,19.14
Carson Palmer,QB,CIN,193.0,4.0,2.0,26.0,18.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,18.22,18.22,18.22
Jon Kitna,QB,DET,342.0,2.0,1.0,40.0,25.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,21.48,21.48,21.48
David Carr,QB,HOU,208.0,2.0,1.0,29.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.620000000000001,12.620000000000001,12.620000000000001
Chad Pennington,QB,NYJ,183.0,1.0,0.0,29.0,19.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.120000000000001,12.120000000000001,12.120000000000001
Jake Delhomme,QB,CAR,272.0,1.0,0.0,36.0,22.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,12.080000000000002,12.080000000000002,12.080000000000002
Matt Hasselbeck,QB,SEA,227.0,5.0,3.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,23.08,23.08
Charlie Frye,QB,CLE,298.0,1.0,1.0,33.0,21.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,20.520000000000003,20.520000000000003,20.520000000000003
Drew Brees,QB,NOR,191.0,0.0,0.0,28.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.739999999999999,7.739999999999999,7.739999999999999
Alex Smith,QB,SFO,293.0,1.0,0.0,46.0,27.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,17.62,17.62,17.62
Brad Johnson,QB,MIN,194.0,0.0,0.0,31.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.76,5.76,5.76
J.P. Losman,QB,BUF,328.0,1.0,1.0,38.0,22.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,18.519999999999996,18.519999999999996,18.519999999999996
Steve McNair,QB,BAL,264.0,1.0,0.0,41.0,23.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.360000000000001,14.360000000000001,14.360000000000001
Daunte Culpepper,QB,MIA,168.0,0.0,0.0,26.0,17.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,13.219999999999999,13.219999999999999,13.219999999999999
Eli Manning,QB,NYG,275.0,3.0,3.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0
Peyton Manning,QB,IND,219.0,1.0,0.0,31.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.759999999999998,18.759999999999998,18.759999999999998
Tom Brady,QB,NWE,320.0,1.0,0.0,55.0,31.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,17.5
Kurt Warner,QB,ARI,256.0,1.0,3.0,28.0,19.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,7.24,7.24,7.24
Kerry Collins,QB,TEN,269.0,1.0,2.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76,10.76,10.76
Chris Simms,QB,TAM,139.0,1.0,1.0,24.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.659999999999998,13.659999999999998,13.659999999999998
Rex Grossman,QB,CHI,278.0,1.0,2.0,41.0,23.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.819999999999999,10.819999999999999,10.819999999999999
Michael Vick,QB,ATL,137.0,0.0,0.0,31.0,12.0,6.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,11.18,11.18
Byron Leftwich,QB,JAX,107.0,1.0,2.0,28.0,16.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,11.680000000000001,11.680000000000001,11.680000000000001
Brian Moorman,P,BUF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,QB,PIT,208.0,0.0,3.0,39.0,18.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2200000000000006,2.2200000000000006,2.2200000000000006
