Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Ben Roethlisberger,QB,PIT,221.0,2.0,0.0,17.0,14.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84,20.84,20.84
Donovan McNabb,QB,PHI,464.0,5.0,0.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.56,36.56,36.56
Patrick Ramsey,QB,WAS,174.0,3.0,0.0,22.0,19.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,18.86,18.86
Craig Nall,QB,GNB,95.0,2.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,11.8,11.8
Drew Bledsoe,QB,BUF,277.0,4.0,0.0,30.0,19.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.779999999999998,27.779999999999998,27.779999999999998
Matt Hasselbeck,QB,SEA,414.0,3.0,0.0,40.0,28.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,30.16,30.16,30.16
Carson Palmer,QB,CIN,382.0,3.0,1.0,36.0,29.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.98,25.98,25.98
Peyton Manning,QB,IND,425.0,3.0,2.0,33.0,25.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,22.7,22.7,22.7
Jake Delhomme,QB,CAR,294.0,1.0,0.0,29.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.76,15.76,15.76
Kerry Collins,QB,OAK,343.0,3.0,0.0,41.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.72,25.72,25.72
Chad Hutchinson,QB,CHI,213.0,3.0,0.0,30.0,18.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,19.919999999999998,19.919999999999998,19.919999999999998
