Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Daunte Culpepper,QB,MIN,242.0,5.0,0.0,23.0,17.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,32.18,32.18,32.18
Donovan McNabb,QB,PHI,330.0,4.0,0.0,36.0,26.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,30.4,30.4
Drew Brees,QB,SDG,209.0,2.0,0.0,24.0,17.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.16,16.16,16.16
Chad Pennington,QB,NYJ,224.0,2.0,0.0,27.0,20.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.76,16.76,16.76
Randy Moss,WR,MIN,37.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,27.0,2.0,0.0,20.18,16.18,18.18
Tom Brady,QB,NWE,335.0,3.0,1.0,38.0,26.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.299999999999997,23.299999999999997,23.299999999999997
Carson Palmer,QB,CIN,248.0,2.0,1.0,27.0,18.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92,16.92,16.92
Steve McNair,QB,TEN,73.0,1.0,0.0,14.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02,8.02,8.02
Brett Favre,QB,GNB,143.0,1.0,0.0,22.0,15.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62,9.62,9.62
Jeff Garcia,QB,CLE,180.0,1.0,0.0,24.0,15.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,18.5,18.5,18.5
Drew Bledsoe,QB,BUF,153.0,1.0,0.0,26.0,17.0,3.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.720000000000001,7.720000000000001,7.720000000000001
Peyton Manning,QB,IND,256.0,2.0,1.0,29.0,16.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.040000000000003,18.040000000000003,18.040000000000003
Marc Bulger,QB,STL,272.0,1.0,1.0,34.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,12.88,12.88
Matt Hasselbeck,QB,SEA,246.0,1.0,1.0,29.0,19.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,11.74,11.74
Jake Delhomme,QB,CAR,284.0,2.0,1.0,39.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.36,15.36,15.36
Vinny Testaverde,QB,DAL,355.0,1.0,0.0,50.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,18.2,18.2
Ken Dorsey,QB,SFO,111.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,4.44,4.44
Tim Rattay,QB,SFO,175.0,2.0,1.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0
Jake Plummer,QB,DEN,230.0,2.0,2.0,29.0,18.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,15.5
Kurt Warner,QB,NYG,203.0,0.0,0.0,28.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.119999999999999,6.119999999999999,6.119999999999999
Josh McCown,QB,ARI,181.0,0.0,0.0,29.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,7.74,7.74
A.J. Feeley,QB,MIA,168.0,1.0,1.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.719999999999999,8.719999999999999,8.719999999999999
Michael Vick,QB,ATL,163.0,1.0,1.0,22.0,13.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,9.52,9.52
Tommy Maddox,QB,PIT,142.0,0.0,0.0,22.0,13.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9799999999999995,4.9799999999999995,4.9799999999999995
Rich Gannon,QB,OAK,305.0,2.0,2.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.2,14.2,14.2
Joey Harrington,QB,DET,187.0,1.0,1.0,26.0,14.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08,10.08,10.08
David Carr,QB,HOU,229.0,0.0,2.0,25.0,19.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.359999999999999,6.359999999999999,6.359999999999999
Mark Brunell,QB,WAS,125.0,0.0,0.0,24.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0999999999999996,3.0999999999999996,3.0999999999999996
Aaron Brooks,QB,NOR,223.0,1.0,1.0,37.0,18.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52,12.52,12.52
Brad Johnson,QB,TAM,169.0,0.0,1.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.76,2.76,2.76
Eli Manning,QB,NYG,66.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,2.64,2.64
Trent Green,QB,KAN,174.0,0.0,1.0,32.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,5.26
Kyle Boller,QB,BAL,191.0,0.0,2.0,38.0,22.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,3.24,3.24,3.24
Byron Leftwich,QB,JAX,147.0,1.0,2.0,36.0,18.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.979999999999999,6.979999999999999,6.979999999999999
Rex Grossman,QB,CHI,227.0,0.0,2.0,35.0,16.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,5.18,5.18,5.18
Mat McBriar,P,DAL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Smith,WR,CAR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,9.0,60.0,0.0,0.0,12.0,6.0,9.0
Jay Fiedler,QB,MIA,42.0,0.0,2.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3200000000000003,-2.3200000000000003,-2.3200000000000003
Curtis Martin,RB,NYJ,0.0,0.0,0.0,0.0,0.0,29.0,196.0,1.0,3.0,3.0,7.0,1.0,0.0,35.300000000000004,32.300000000000004,33.800000000000004
Quentin Griffin,RB,DEN,0.0,0.0,0.0,0.0,0.0,23.0,156.0,2.0,1.0,3.0,1.0,1.0,1.0,32.7,31.700000000000003,32.2
Priest Holmes,RB,KAN,0.0,0.0,0.0,0.0,0.0,26.0,151.0,3.0,2.0,3.0,-2.0,0.0,0.0,34.9,32.9,33.9
Clinton Portis,RB,WAS,0.0,0.0,0.0,0.0,0.0,29.0,148.0,1.0,4.0,5.0,15.0,0.0,0.0,26.3,22.3,24.3
Edgerrin James,RB,IND,0.0,0.0,0.0,0.0,0.0,30.0,142.0,0.0,3.0,3.0,29.0,0.0,2.0,16.099999999999998,13.099999999999998,14.599999999999998
Shaun Alexander,RB,SEA,0.0,0.0,0.0,0.0,0.0,28.0,135.0,2.0,2.0,2.0,31.0,1.0,0.0,36.6,34.6,35.6
Marshall Faulk,RB,STL,0.0,0.0,0.0,0.0,0.0,22.0,128.0,0.0,2.0,2.0,17.0,0.0,0.0,16.5,14.5,15.5
Tiki Barber,RB,NYG,0.0,0.0,0.0,0.0,0.0,9.0,125.0,1.0,5.0,6.0,75.0,0.0,0.0,31.0,26.0,28.5
LaDainian Tomlinson,RB,SDG,0.0,0.0,0.0,0.0,0.0,26.0,121.0,1.0,3.0,4.0,-4.0,0.0,0.0,20.700000000000003,17.700000000000003,19.200000000000003
