Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Brandon Weeden,QB,DAL,43.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,5.72,5.72
Tony Romo,QB,DAL,218.0,4.0,0.0,20.0,18.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52,27.52,27.52
Eli Manning,QB,NYG,391.0,3.0,0.0,32.0,25.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34,27.34,27.34
Arian Foster,RB,HOU,5.0,1.0,0.0,1.0,1.0,25.0,96.0,0.0,1.0,4.0,23.0,0.0,0.0,17.1,16.1,16.6
Russell Wilson,QB,SEA,339.0,2.0,0.0,31.0,20.0,6.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,36.36,36.36,36.36
Ryan Tannehill,QB,MIA,396.0,4.0,1.0,47.0,35.0,6.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.34,29.34,29.34
Teddy Bridgewater,QB,MIN,259.0,2.0,1.0,26.0,19.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,17.66,17.66,17.66
Ben Roethlisberger,QB,PIT,220.0,1.0,0.0,25.0,18.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,12.4,12.4
Shaun Hill,QB,STL,290.0,2.0,1.0,32.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,17.6,17.6
Aaron Rodgers,QB,GNB,318.0,1.0,0.0,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.719999999999999,14.719999999999999,14.719999999999999
Matt Ryan,QB,ATL,322.0,1.0,0.0,40.0,30.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.580000000000002,17.580000000000002,17.580000000000002
Cecil Shorts,WR,JAX,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,15.0,0.0,0.0,3.86,1.8599999999999999,2.86
