Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Donovan McNabb,QB,PHI,342.0,5.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.68,31.68,31.68
Ben Roethlisberger,QB,PIT,254.0,2.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.16,18.16,18.16
Trent Dilfer,QB,CLE,336.0,3.0,0.0,32.0,21.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.939999999999998,25.939999999999998,25.939999999999998
Mike McMahon,QB3,PHI,22.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,0.78
Matt Hasselbeck,QB,SEA,281.0,2.0,0.0,31.0,20.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14,20.14,20.14
Jeff Blake,QB,CHI,11.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,0.33999999999999997,0.33999999999999997
Koy Detmer,QB,PHI,94.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.76,3.76
Carson Palmer,QB,CIN,337.0,3.0,1.0,40.0,27.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.78,23.78,23.78
Chad Pennington,QB,NYJ,190.0,2.0,0.0,30.0,19.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,16.8,16.8
Kyle Orton,QB,CHI,150.0,1.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
Brett Favre,QB,GNB,342.0,3.0,2.0,44.0,32.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58,23.58,23.58
Michael Vick,QB,ATL,123.0,1.0,0.0,19.0,11.0,8.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,13.219999999999999,13.219999999999999,13.219999999999999
Mark Brunell,QB,WAS,291.0,2.0,1.0,34.0,20.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,21.14,21.14,21.14
David Carr,QB,HOU,167.0,1.0,0.0,26.0,16.0,7.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,13.28,13.28,13.28
Kerry Collins,QB,OAK,263.0,1.0,0.0,35.0,21.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,13.62,13.62,13.62
Trent Green,QB,KAN,237.0,0.0,0.0,28.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,9.68,9.68
Drew Bledsoe,QB,DAL,261.0,1.0,0.0,36.0,21.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94,14.94,14.94
Eli Manning,QB,NYG,165.0,1.0,0.0,24.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,10.6,10.6
Brian Griese,QB,TAM,136.0,0.0,0.0,22.0,16.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,5.24,5.24
Kurt Warner,QB,ARI,327.0,0.0,1.0,42.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.08,9.08,9.08
Marc Bulger,QB,STL,216.0,1.0,1.0,29.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64,10.64,10.64
Steve McNair,QB,TEN,195.0,1.0,0.0,36.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0
Byron Leftwich,QB,JAX,198.0,0.0,0.0,29.0,16.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02,9.02,9.02
Anthony Wright,QB,BAL,212.0,1.0,1.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48,10.48,10.48
Jake Plummer,QB,DEN,248.0,0.0,1.0,37.0,23.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,8.12,8.12
Kelly Holcomb,QB,BUF,-1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.04
Drew Brees,QB,SDG,175.0,0.0,1.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0
Tom Brady,QB,NWE,270.0,1.0,1.0,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.8,10.8,10.8
Aaron Brooks,QB,NOR,375.0,1.0,3.0,45.0,27.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,12.0
Gus Frerotte,QB,MIA,177.0,1.0,1.0,43.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,9.08,9.08
