Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Jon Kitna,QB,DET,247.0,2.0,0.0,24.0,20.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.780000000000001,15.780000000000001,15.780000000000001
Peyton Manning,QB,IND,193.0,3.0,0.0,27.0,20.0,4.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,25.419999999999998,25.419999999999998,25.419999999999998
Joey Harrington,QB,ATL,223.0,2.0,0.0,29.0,23.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.82,16.82,16.82
Tony Romo,QB,DAL,339.0,3.0,1.0,33.0,21.0,3.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,31.96,31.96,31.96
Tom Brady,QB,NWE,231.0,3.0,1.0,32.0,25.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.040000000000003,19.040000000000003,19.040000000000003
Matt Hasselbeck,QB,SEA,281.0,2.0,1.0,31.0,23.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.94,16.94,16.94
Derek Anderson,QB,CLE,204.0,2.0,1.0,18.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.16,14.16,14.16
Brett Favre,QB,GNB,344.0,2.0,0.0,45.0,32.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.86,19.86,19.86
Daunte Culpepper,QB,OAK,75.0,2.0,0.0,12.0,5.0,7.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,31.8,31.8,31.8
Matt Schaub,QB,HOU,317.0,1.0,0.0,40.0,28.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,16.58,16.58,16.58
Kurt Warner,QB,ARI,132.0,1.0,0.0,21.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.280000000000001,7.280000000000001,7.280000000000001
Trent Edwards,QB,BUF,234.0,1.0,1.0,28.0,22.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26,11.26,11.26
Damon Huard,QB,KAN,284.0,2.0,2.0,29.0,17.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.059999999999999,15.059999999999999,15.059999999999999
Chad Pennington,QB,NYJ,291.0,1.0,2.0,39.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,11.74,11.74
Jeff Garcia,QB,TAM,176.0,0.0,0.0,25.0,15.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,14.04,14.04,14.04
Steve McNair,QB,BAL,307.0,1.0,1.0,53.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48,14.48,14.48
Jay Cutler,QB,DEN,131.0,1.0,1.0,21.0,13.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,12.34,12.34,12.34
Ben Roethlisberger,QB,PIT,244.0,2.0,2.0,32.0,17.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,16.36,16.36,16.36
Kelly Holcomb,QB,MIN,258.0,1.0,1.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32,12.32,12.32
