Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Ryan Tannehill,QB,TEN,259.0,2.0,0.0,18.0,14.0,7.0,40.0,2.0,0.0,0.0,0.0,0.0,1.0,32.36,32.36,32.36
Jimmy Garoppolo,QB,SFO,253.0,2.0,0.0,20.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.22,18.22,18.22
Lamar Jackson,QB,BAL,169.0,5.0,0.0,20.0,15.0,8.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26,36.26,36.26
Sam Darnold,QB,NYJ,315.0,2.0,0.0,29.0,20.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,28.200000000000003,28.200000000000003,28.200000000000003
Baker Mayfield,QB,CLE,327.0,3.0,1.0,34.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58,23.58,23.58
Devlin Hodges,QB,PIT,118.0,1.0,0.0,11.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.819999999999999,8.819999999999999,8.819999999999999
Drew Brees,QB,NOR,311.0,3.0,1.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.439999999999998,22.439999999999998,22.439999999999998
Kyle Allen,QB,CAR,256.0,3.0,0.0,36.0,23.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.14,23.14,23.14
Matt Schaub,QB,ATL,55.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,6.2
Jameis Winston,QB,TAM,313.0,3.0,2.0,28.0,18.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,24.32,24.32
Deshaun Watson,QB,HOU,298.0,2.0,1.0,30.0,19.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92,18.92,18.92
Josh Allen,QB,BUF,185.0,2.0,1.0,25.0,15.0,9.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0
Daniel Jones,QB,NYG,150.0,2.0,0.0,36.0,21.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,14.7,14.7,14.7
Ryan Finley,QB,CIN,192.0,1.0,0.0,26.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,10.48,10.48,10.48
Robert Griffin,QB,BAL,39.0,0.0,0.0,3.0,1.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.26,1.26
Nick Foles,QB,JAX,272.0,0.0,0.0,48.0,32.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,12.88,12.88
Tim Boyle,QB,GNB,15.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
Jacoby Brissett,QB,IND,129.0,0.0,0.0,25.0,16.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,13.16,13.16,13.16
