Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Tom Brady,QB,NWE,252.0,3.0,0.0,27.0,21.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68,22.68,22.68
Joe Flacco,QB,BAL,262.0,3.0,0.0,31.0,22.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.080000000000002,22.080000000000002,22.080000000000002
Tony Romo,QB,DAL,284.0,2.0,0.0,30.0,23.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.259999999999998,19.259999999999998,19.259999999999998
Mark Sanchez,QB,NYJ,256.0,3.0,0.0,28.0,15.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,22.14,22.14
Michael Vick,QB,PHI,291.0,3.0,0.0,31.0,17.0,4.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,32.64,32.64,32.64
Josh Johnson,QB,TAM,67.0,0.0,0.0,6.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,3.38,3.38
Matt Cassel,QB,KAN,250.0,3.0,1.0,27.0,16.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,20.7,20.7
Drew Brees,QB,NOR,365.0,3.0,2.0,38.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,22.6,22.6
Peyton Manning,QB,IND,325.0,3.0,0.0,43.0,27.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,24.9,24.9
Matt Ryan,QB,ATL,228.0,2.0,0.0,30.0,19.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72,19.72,19.72
Charlie Batch,QB,PIT,186.0,3.0,2.0,17.0,12.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,18.040000000000003,18.040000000000003,18.040000000000003
Vince Young,QB,TEN,118.0,1.0,0.0,16.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.319999999999999,9.319999999999999,9.319999999999999
Seneca Wallace,QB,CLE,141.0,1.0,0.0,24.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,9.64,9.64
Aaron Rodgers,QB,GNB,316.0,1.0,1.0,45.0,34.0,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.64,22.64,22.64
Ryan Fitzpatrick,QB,BUF,247.0,2.0,2.0,28.0,20.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,15.680000000000003,15.680000000000003,15.680000000000003
Chad Henne,QB,MIA,363.0,2.0,1.0,44.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.62,20.62,20.62
Kyle Orton,QB,DEN,476.0,1.0,1.0,57.0,37.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,22.14,22.14
Jay Cutler,QB,CHI,221.0,1.0,1.0,27.0,16.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,14.54,14.54,14.54
Philip Rivers,QB,SDG,455.0,2.0,2.0,53.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,22.4,22.4
Donovan McNabb,QB,WAS,236.0,1.0,1.0,32.0,19.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,13.94,13.94,13.94
Anquan Boldin,WR,BAL,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,11.0,142.0,3.0,0.0,39.96,31.96,35.96
Sam Bradford,QB,STL,235.0,1.0,1.0,37.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.6,11.6
Matt Schaub,QB,HOU,241.0,1.0,2.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,9.64,9.64
Matt Hasselbeck,QB,SEA,220.0,1.0,1.0,32.0,19.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,11.3
Eli Manning,QB,NYG,386.0,0.0,2.0,48.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.639999999999999,11.639999999999999,11.639999999999999
Bruce Gradkowski,QB,OAK,255.0,1.0,1.0,34.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,13.5
Derek Anderson,QB,ARI,122.0,2.0,1.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999,10.879999999999999,10.879999999999999
Shaun Hill,QB,DET,237.0,1.0,2.0,43.0,29.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88,9.88,9.88
Alex Smith,QB,SFO,232.0,1.0,1.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28,11.28,11.28
Brett Favre,QB,MIN,201.0,1.0,2.0,34.0,23.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,7.84,7.84
Josh Freeman,QB,TAM,184.0,0.0,1.0,31.0,20.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.859999999999999,6.859999999999999,6.859999999999999
Jimmy Clausen,QB,CAR,188.0,0.0,1.0,33.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5199999999999996,2.5199999999999996,2.5199999999999996
Carson Palmer,QB,CIN,195.0,1.0,2.0,37.0,19.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001,8.600000000000001,8.600000000000001
Ronnie Brown,RB,MIA,0.0,0.0,0.0,1.0,0.0,11.0,54.0,0.0,2.0,2.0,-1.0,0.0,0.0,7.300000000000001,5.300000000000001,6.300000000000001
David Garrard,QB,JAX,105.0,0.0,1.0,30.0,13.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.4,5.4
Adrian Peterson,HB,MIN,0.0,0.0,0.0,0.0,0.0,23.0,160.0,2.0,5.0,7.0,30.0,0.0,0.0,36.0,31.0,33.5
Peyton Hillis,RB,CLE,0.0,0.0,0.0,0.0,0.0,22.0,144.0,1.0,7.0,8.0,36.0,0.0,0.0,31.0,24.0,27.5
Rashard Mendenhall,RB,PIT,0.0,0.0,0.0,0.0,0.0,19.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0,20.3,20.3,20.3
Chris Johnson,RB,TEN,0.0,0.0,0.0,0.0,0.0,32.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0,24.5,24.5,24.5
Michael Turner,RB,ATL,0.0,0.0,0.0,0.0,0.0,30.0,114.0,1.0,2.0,3.0,11.0,0.0,0.0,20.5,18.5,19.5
Arian Foster,RB,HOU,0.0,0.0,0.0,0.0,0.0,17.0,106.0,0.0,4.0,5.0,20.0,0.0,1.0,14.6,10.6,12.6
Darren McFadden,RB,OAK,0.0,0.0,0.0,0.0,0.0,25.0,105.0,1.0,2.0,3.0,17.0,0.0,0.0,20.2,18.2,19.2
BenJarvus Green-Ellis,RB,NWE,0.0,0.0,0.0,0.0,0.0,16.0,98.0,1.0,1.0,1.0,6.0,0.0,0.0,17.400000000000002,16.400000000000002,16.900000000000002
Jamaal Charles,RB,KAN,0.0,0.0,0.0,0.0,0.0,12.0,97.0,0.0,3.0,3.0,57.0,0.0,0.0,18.4,15.399999999999999,16.9
Thomas Jones,RB,KAN,0.0,0.0,0.0,0.0,0.0,19.0,95.0,1.0,1.0,3.0,1.0,0.0,0.0,16.6,15.6,16.1
Ahmad Bradshaw,RB,NYG,0.0,0.0,0.0,0.0,0.0,15.0,88.0,1.0,5.0,5.0,30.0,0.0,1.0,20.8,15.8,18.3
Maurice Jones-Drew,RB,JAX,0.0,0.0,0.0,0.0,0.0,22.0,88.0,0.0,2.0,3.0,1.0,0.0,0.0,10.9,8.9,9.9
Cedric Benson,HB,CIN,0.0,0.0,0.0,0.0,0.0,27.0,81.0,1.0,2.0,3.0,9.0,1.0,0.0,23.0,21.0,22.0
Ray Rice,RB,BAL,0.0,0.0,0.0,0.0,0.0,15.0,80.0,0.0,4.0,5.0,16.0,0.0,0.0,13.6,9.6,11.6
Marshawn Lynch,RB,BUF,0.0,0.0,0.0,0.0,0.0,13.0,79.0,0.0,1.0,1.0,7.0,0.0,0.0,9.6,8.6,9.1
Beanie Wells,RB,ARI,0.0,0.0,0.0,0.0,0.0,14.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5
Mike Tolbert,RB,SDG,0.0,0.0,0.0,0.0,0.0,17.0,73.0,0.0,3.0,4.0,17.0,0.0,1.0,10.0,7.0,8.5
LaDainian Tomlinson,RB,NYJ,0.0,0.0,0.0,0.0,0.0,15.0,70.0,1.0,3.0,5.0,18.0,0.0,0.0,17.8,14.8,16.3
